Row Labels;Sum of Employee_ID;Count of Join_Date;Sum of Salary
Finance;46019;42;9960000
Cruz;6712;6;1410000
19;1031;1;250000
21;1048;1;300000
23;2328;2;590000
24;1117;1;
(blank);1188;1;270000
Garcia;5353;5;1140000
19;2208;2;600000
20;1027;1;270000
22;1112;1;
23;1006;1;270000
Lopez;2035;2;590000
22;2035;2;590000
Mendoza;2206;2;520000
19;1197;1;250000
22;1009;1;270000
Ong;6747;6;1470000
19;1090;1;250000
21;1194;1;300000
22;2163;2;600000
24;1129;1;320000
(blank);1171;1;
Ramos;7653;7;1670000
20;1008;1;280000
21;2055;2;570000
22;2351;2;250000
(blank);2239;2;570000
Reyes;3382;3;520000
20;1097;1;250000
21;1177;1;270000
22;1108;1;
Santos;1164;1;320000
22;1164;1;320000
Tan;5364;5;1180000
21;1131;1;320000
22;2177;2;280000
24;2056;2;580000
Uy;3231;3;870000
21;1169;1;320000
22;1012;1;270000
(blank);1050;1;280000
Villanueva;2172;2;270000
19;1138;1;270000
21;1034;1;
HR;54404;50;11280000
Cruz;4184;4;850000
22;1084;1;
23;1043;1;270000
24;2057;2;580000
Garcia;6741;6;1380000
19;1032;1;280000
21;1017;1;280000
23;1192;1;300000
(blank);3500;3;520000
Lim;3256;3;560000
20;1002;1;280000
21;1200;1;
24;1054;1;280000
Lopez;1057;1;250000
(blank);1057;1;250000
Mendoza;7576;7;1620000
20;1004;1;250000
22;1136;1;250000
23;1016;1;250000
(blank);4420;4;870000
Ong;4346;4;1170000
19;1029;1;250000
22;1056;1;300000
23;1134;1;320000
24;1127;1;300000
Ramos;2225;2;590000
20;1179;1;320000
(blank);1046;1;270000
Reyes;2040;2;300000
20;1001;1;
23;1039;1;300000
Santos;5629;5;870000
19;1168;1;320000
20;1181;1;270000
21;1140;1;
22;1020;1;
23;1120;1;280000
Tan;6554;6;1160000
19;2160;2;270000
20;1119;1;320000
22;1063;1;320000
24;1086;1;250000
(blank);1126;1;
Uy;2186;2;560000
22;1075;1;280000
(blank);1111;1;280000
Villanueva;8610;8;1970000
19;3255;3;590000
21;1137;1;320000
22;3140;3;790000
24;1078;1;270000
IT;33994;31;8470000
Cruz;2299;2;500000
21;1114;1;250000
23;1185;1;250000
Garcia;3103;3;860000
20;1060;1;270000
21;1015;1;320000
23;1028;1;270000
Lim;2125;2;640000
24;2125;2;640000
Lopez;2232;2;570000
19;2232;2;570000
Mendoza;7741;7;1680000
19;2123;2;250000
20;1115;1;300000
23;2226;2;530000
24;2277;2;600000
Ong;2127;2;540000
19;1036;1;270000
24;1091;1;270000
Ramos;5580;5;1490000
20;1193;1;300000
21;2082;2;600000
22;1148;1;320000
23;1157;1;270000
Santos;3296;3;820000
19;1149;1;250000
24;2147;2;570000
Tan;2159;2;520000
21;2159;2;520000
Villanueva;3332;3;850000
19;1041;1;270000
23;1170;1;280000
24;1121;1;300000
Marketing;48064;43;10610000
Cruz;4328;4;1100000
20;2128;2;600000
23;2200;2;500000
Garcia;3312;3;570000
19;1162;1;320000
21;1061;1;
24;1089;1;250000
Lim;6750;6;1170000
19;1165;1;
20;2305;2;600000
21;1068;1;320000
22;1113;1;
23;1099;1;250000
Mendoza;2345;2;520000
22;2345;2;520000
Ong;5528;5;1470000
20;1109;1;280000
21;2224;2;620000
24;1133;1;270000
(blank);1062;1;300000
Ramos;4617;4;770000
21;1103;1;250000
22;1163;1;250000
23;1155;1;270000
(blank);1196;1;
Reyes;3461;3;870000
20;1152;1;250000
22;1158;1;320000
(blank);1151;1;300000
Santos;2213;2;520000
23;1107;1;270000
24;1106;1;250000
Tan;4611;4;1090000
20;1186;1;270000
22;1161;1;270000
23;1184;1;270000
(blank);1080;1;280000
Uy;4380;4;1170000
19;1173;1;300000
21;1098;1;320000
22;1058;1;270000
24;1051;1;280000
Villanueva;6519;6;1360000
19;2052;2;500000
20;1003;1;300000
21;1146;1;280000
22;1144;1;
24;1174;1;280000
Operations;39656;36;8420000
Cruz;1055;1;
22;1055;1;
Garcia;3233;3;850000
22;1079;1;300000
23;1069;1;250000
24;1085;1;300000
Lim;1052;1;
21;1052;1;
Lopez;6589;6;1720000
19;1195;1;270000
21;2193;2;620000
23;2114;2;550000
24;1087;1;280000
Mendoza;2061;2;520000
22;1042;1;250000
(blank);1019;1;270000
Ong;1145;1;250000
21;1145;1;250000
Ramos;1198;1;300000
22;1198;1;300000
Reyes;2149;2;550000
20;1033;1;250000
(blank);1116;1;300000
Santos;2346;2;520000
19;1166;1;270000
23;1180;1;250000
Tan;10028;9;2220000
21;2192;2;530000
22;2292;2;550000
23;2257;2;590000
(blank);3287;3;550000
Uy;4476;4;640000
19;1147;1;320000
20;1143;1;
21;1014;1;
23;1172;1;320000
Villanueva;4324;4;850000
20;1024;1;320000
23;1132;1;280000
(blank);2168;2;250000
Grand Total;222137;202;48740000
